Baxter2000c,"The relation 'is phonologically derivable from' has the mathematical properties of a partial ordering. If we use the sumbol '≤' to represent 'is phonologically derivable from', then it has the properties of transitivity, reflexifvity, and antisymmetry. Letting *A*, *B*, and *C* represent phonologies, we have [...].","Chinese, etymological relations, transitivity, reflexivity, antisymmetry"
Bopp1816,"Der Zweck dieses Versuchs ist, zu zeigen, wie in der Conjugation der altindischen Zeitwörter die Verhältnisbestimmungen durch entsprechende Modifikationen der Wurzel ausgedrückt werden, wie aber zuweilen das {\em verbum abstractum} mit der Stammsylbe zu einem Worte verschmolzen wird, und Stammsylbe und Hilfszeitwort sich in die grammatischen Funktionen des {\em verbum} theilen; zu zei- [pb] gen, wie dasselbe in der griechischen Sprache der Fall sey, wie im Lateinischen das System der Verbindung der Wurzel mit einem Hilfszeitworte herrschend geworden, und wie nur dadurch die scheinbare Verschiedenheit der lateinischen Conjugation von der des Sanskrits und des Griechischen entstanden sey; zu beweisen endlich, daß an allen den Sprachen, die von dem Sanskrit, oder mit ihm von einer gemeinschaftlichen Mutter abstammen, seine Verhältnisbestimmung durch eine Flexion ausgedrückt werde, die ihnen nicht mit jener Ursprache gemein sey, und scheinbare Eigenheiten nur daraus entstehen, daß entweder die Stammsylbe mit Hilfszeitwörtern zu einem Worte verschmolzen werden, oder daß aus Partizipien, die schon im Sanskrit gebräuchliche {\em tempora derivativa} abgeleitet werden, nach Art, wie man im Sanskrit, Griechischen und vielen andern Sprachen aus Substantiven {\em verba derivativa} bilden kann.",-
Bopp1816,"Verwunderungswürdig ist es, daß [pb] das Bengalische, welches doch unter den neu-indischen Mundarten am wenigsten fremde Einmischungen erlitten, in der Grammatik bey weitem nicht so sehr mit dem Sanskrit übereinstimmt, als die oben erwähnten Sprachen, während es doch eine weit größere Anzahl altindischer Wörter aufzuweisen hat. Neue organische Modifikationen sind aber nicht an die Stelle der altindischen Flexionen getreten, sondern nach dem deren Sinn und Geist nach und nach erstorben, fiel auch ihr Gebrauch weg, und es ersetzten {\em tempora participalia} [...] die Zeiten, die im Sanskrit durch innere Veränderung der Stammsylbe gebildet wurden.","language mixture"
Gabelentz1891,"Es handelt sich hier um das, was man im Detectivwesen entfernte Indicien
nennt. Der Richtungen, in denen nachgeforscht werden könnte, sind unzählig
viele; aber es fragt sich: welche Richtungen versprechen am Ersten zum Ziele zu
führen, welche sind also in erster Reihe zu verfolgen? Denn wir wollen nicht
mit blindem Umhertappen und Ausprobiren Zeit und Kräfte vergeuden. Es muss eine Kunst des Suchens geben, die sich lehren und lernen lässt:
es muss für diese Kunst apriorisch geltenden Grundsätze geben, die sich aus der
Natur der Sache entwickeln lassen.",abduction
Gabelentz1891,"Nun fragt man sich: Können die Übereinstimmungen nicht auch auf
Entlehnung beruhen? Denn dass sie nicht zufällig sind, das haben eben jene
Lautvergleichungen ergeben. Die Frage betrifft sowohl die Menge als die Art des
Verwandten; es kann sehr Vieles entlehnt sein, wie im Englischen aus dem
Altfranzösischen, — und doch gerade das Wesentlichste nicht. Hier muss die
Vergleichung des Sprachbaues, der Wortformen und Formwörter entscheiden; und
somit reiht sich an die lexikalische und phonetische Vergleichung die
*grammatische* an.

Das ganze hier geschilderte Verfahren ist scheinbar rein mechanisch und ist es
oft auch wirklich. Allein in vielen Fällen wird neben einem guten Gedächtnisse,
das die Arbeit verkürzt, auch ein gewisser Tact erfordert, der den Forscher vor
thörichten Combinationen behütet, also ein Verständnis für das, was in der
Sprachgeschichte möglich und wahrscheinlich ist.","basic vocabulary"
Grimm1822,"Der dialect, den uns die geschichte als den ältesten, unverdorbensten weist, muß zuletzt auch für die allgemeine darstellung aller verzweigungen des stamms die tiefste regel darbieten und dann bisher entdeckte gesetzte der späteren mundarten reformieren, ohne sie sämmtlich aufzuheben.","family tree, branching, history of science"
Grimm1822,"Die schriftsteller dieser zwischenzeit vergröbern stufenweise die frühere sprachregel und überlassen sich sorglos den einmischungen landschaftlicher gemeiner mundart; oft weiß man nicht, ob ihre besonderheit von der alten reinen sprache her übrig geblieben oder aus dem gebiete des volksdialects eingedrungen ist. Genügende darstellung solcher beosnderheiten würde weitläuftige anstalten und erörterungen verlangen.","language mixture"
Grimm1822,"In der frühen zeit gelten viele dialecte gleichansehnlich nebeneinander, ihre grenzen laufen mit denen der einzelnen stämme; sobald herrschaft und bildung einem volke vorgewicht geben, fängt seine mundart an sich über benachbarte, abhängige auszubreiten, d.h. von deren edlem theile angenommen zu werden, während die einheimische mundart unter den volkshaufen flüchtet. Die stärkere mundart steigt, die schwächere sinkt und wird gemein, doch selbst die herrschende muß durch ihre wachsende ausdehnung unvermerkt eigenheiten der andern stämme an sich ziehen, folgich dem ungebildeten theile des stammes, von dem sie ausgieng, gleichfalls entrückt werden.","dialect boundaries, dialect mixture"
Grimm1822,"Mundarten welche durch natürliche lage gehegt und von andern unangestozssen bleiben, werden ihre flexionen langsamer verändern; berührung mehrerer dialecte muß, auch wenn der siegende vollendetere formen besäße, weil er sie mit aufgenommenen wörtern der andern mundart auszugleichen hat, abstumpfung bieder mundarten beschleunigen.","dialect mixture"
Harrison2003,"Comparative historical linguists have been rather more careful in
stipulating what it means for linguistic symbols to be similar in form. Observe
first that similarity of form must be *complete* similarity. Put rather
brutally, if the front halves of two forms are similar, but the back halves
aren't, then the forms are not similar. In practice, we observe this condition
by segmenting each form into its component (segmental or autosegmental) parts,
and then mapping the segmented forms into a set of *correspondences*
between a part or parts of one form and a part or parts (possibly nil) of the
other. We need not go into the mechanics of that segmentation process here. The
problem of similarity of sign forms then reduces to the problem of similarity
of objects in a *correspondence* relation .","segmentation, sound correspondences, comparative method"
